Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
<Programming>,2025,"International Conference on the Art, Science, and Engineering of Programming",,nan,,Recommended,CE-LP,Qualis 2017-2020|SBC CE-2024,,,,programming
3DOR,2025,Eurographics Workshop on 3D Object Retrieval,,,,,,Qualis 2017-2020,,,,
3DUI,2025,IEEE Symposium on 3D User Interfaces,VR,IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR)|nan,IEEE,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,,3dui
3DV,2025,International Conference on 3D Vision,,nan,,Recommended,CE-GRAPI|CE-RV,Qualis 2017-2020|SBC CE-2024,,,_QeiDtrgUSoJ,3dim
3ICT,2025,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,,Qualis 2017-2020,,,,
5GWF,2025,IEEE 5G World Forum,,,,,,Qualis 2017-2020,,,,
A-TEST,2025,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,,Qualis 2017-2020,,,,
AAAI,2025,AAAI Conference on Artificial Intelligence,,nan,,Top10,CE-GRAPI|CE-IA|CE-IC|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,PV9sQN5dnPsJ,aaai
AAMAS,2025,International Conference on Autonomous Agents and Multiagent Systems,,nan,,Top10,CE-IA,Qualis 2017-2020|SBC CE-2024,,,yWxsQWGuQ-sJ,atal
ABZ,2025,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,nan,,Top20,CE-MF,Qualis 2017-2020|SBC CE-2024,,,P_bGcOzNXgIJ,
AC-IADIS,2025,IADIS International Conference on Applied Computing,,,,,,Qualis 2017-2020,,,,
ACC,2025,American Control Conference,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,tgZe9odv5lUJ,
ACCV,2025,Asian Conference on Computer Vision,,nan,,Recommended,CE-GRAPI|CE-RV,Qualis 2017-2020|SBC CE-2024,,,C6G2a_KY88AJ,accv
ACE,2025,International Conference on Advances in Computer Entertainment Technology,,The Australasian Computing Education Conference|nan,,Top20,CE-EDUCOMP|CE-IHC,Qualis 2017-2020|SBC CE-2024,,,6Ym19ArjjigJ,ACMace
ACHI-IARIA,2025,IARIA International Conference on Advances in Computer-Human Interactions,,,,,,Qualis 2017-2020,,,,
ACII,2025,International Conference on Affective Computing and Intelligent Interaction,,Affective Computing and Intelligent Interaction|nan,,Recommended,CE-IA|CE-IHC,Qualis 2017-2020|SBC CE-2024,,,n8TWwN8Kc5cJ,acii
ACIRS,2025,Asia-Pacific Conference on Intelligent Robot Systems,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,dQMJcSWIFtgJ,
ACISP,2025,Australasian Conference on Information Security and Privacy,,nan,,Recommended,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,o0S2wIvNbXEJ,acisp
ACIVS,2025,Advanced Concepts for Intelligent Vision Systems,,nan,,Recommended,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,,acivs
ACL,2025,Annual Meeting of the Association for Computational Linguistics,,nan,,Top10,CE-BD|CE-IA|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,Y3UjV9bSCxMJ,acl
